Keyword / Tema,Categoría,Intención,URL del artículo,Estado,Volumen (DinoRank),Volumen grupo,Competencia,Pos. media (GSC 90d),Clics (90d),Impresiones (90d),Prioridad,Notas
certificado ce maquinaria,Maquinaria general,Comercial/Info,,Pendiente,90,90,0.31,,,,🟢 Normal,1 variantes
subasta maquinaria industrial,Maquinaria general,Comercial/Info,,Pendiente,90,90,0.34,,,,🟢 Normal,1 variantes
maquinaria embargada por bancos,Maquinaria general,Comercial/Info,,Pendiente,90,90,0.0,,,,🟢 Normal,1 variantes
plataforma elevadora remolcable segunda mano,Plataformas elevación,Comercial,,Pendiente,70,80,0.76,,,,🟢 Normal,2 variantes: plataforma elevadora remolcable de segunda mano
generador eléctrico para piso,Generadores,Comercial/Info,,Pendiente,40,80,1.0,,,,🟢 Normal,2 variantes: generador electrico para piso
medidas contenedor marítimo 40 pies,Casetas y contenedores,Comercial/Info,,Pendiente,70,80,1.0,,,,🟢 Normal,2 variantes: contenedor marítimo 40 pies medidas
excavadora caterpillar precio,Excavadoras,Comercial,,Pendiente,50,80,1.0,,,,🟢 Normal,2 variantes: precio excavadora caterpillar
miniexcavadora 500 kg segunda mano,Miniexcavadoras,Comercial,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
miniexcavadora segunda mano milanuncios,Miniexcavadoras,Comercial,,Pendiente,70,70,0.4,,,,🟢 Normal,1 variantes
mini retroexcavadoras usadas baratas jcb,Excavadoras,Comercial,,Pendiente,70,70,0.0,,,,🟢 Normal,1 variantes
mini retro 1000 kg,Excavadoras,Comercial/Info,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
venta excavadoras embargadas,Excavadoras,Comercial,,Pendiente,70,70,0.58,,,,🟢 Normal,1 variantes
mini giratoria 1500 kg,Excavadoras,Comercial/Info,,Pendiente,70,70,0.0,,,,🟢 Normal,1 variantes
generador a toma de fuerza segunda mano,Generadores,Comercial,,Pendiente,70,70,0.98,,,,🟢 Normal,1 variantes
excavadora segunda mano particulares,Excavadoras,Comercial,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
maquina excavadora de segunda mano,Excavadoras,Comercial,,Pendiente,40,70,1.0,,,,🟢 Normal,2 variantes: maquina excavadora segunda mano
retro excavadora mixta segunda mano,Excavadoras,Comercial,,Pendiente,70,70,0.61,,,,🟢 Normal,1 variantes
excavadora giratoria de segunda mano,Excavadoras,Comercial,,Pendiente,70,70,0.9,,,,🟢 Normal,1 variantes
case retroexcavadora,Excavadoras,Comercial/Info,,Pendiente,70,70,0.0,,,,🟢 Normal,1 variantes
plataforma elevadora pequeña segunda mano,Plataformas elevación,Comercial,,Pendiente,70,70,0.0,,,,🟢 Normal,1 variantes
plataforma elevadora articulada segunda mano,Plataformas elevación,Comercial,,Pendiente,70,70,0.0,,,,🟢 Normal,1 variantes
plataforma elevadora tijera diesel,Plataformas elevación,Comercial/Info,,Pendiente,70,70,0.33,,,,🟢 Normal,1 variantes
alquiler de plataforma elevadora tijera eléctrica,Plataformas elevación,Comercial/Info,,Pendiente,40,70,0.18,,,,🟢 Normal,2 variantes: alquiler de plataforma elevadora tijera electrica
dumper segunda mano galicia,Dumpers y cargadoras,Comercial,,Pendiente,70,70,0.48,,,,🟢 Normal,1 variantes
dumper de segunda mano en castilla y león,Dumpers y cargadoras,Comercial,,Pendiente,70,70,0.0,,,,🟢 Normal,1 variantes
generador electrico gasolina segunda mano,Generadores,Comercial,,Pendiente,40,70,1.0,,,,🟢 Normal,2 variantes: generador eléctrico gasolina segunda mano
generador de luz barato en canarias,Generadores,Comercial,,Pendiente,70,70,0.99,,,,🟢 Normal,1 variantes
generadores de segunda mano particulares cerca de la coruña,Generadores,Comercial,,Pendiente,70,70,0.99,,,,🟢 Normal,1 variantes
generador alcampo,Generadores,Comercial/Info,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
generador eléctrico para casa leroy merlin,Generadores,Comercial/Info,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
caseta de obra segunda mano galicia,Casetas y contenedores,Comercial,,Pendiente,70,70,0.98,,,,🟢 Normal,1 variantes
caseta de obra asturias,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
caseta de obra sevilla,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,0.95,,,,🟢 Normal,1 variantes
caseta de obra en cantabria,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
alquiler caseta de obra madrid,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,0.78,,,,🟢 Normal,1 variantes
caseta de obra segunda mano asturias,Casetas y contenedores,Comercial,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
alquiler caseta de obra valencia,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,0.75,,,,🟢 Normal,1 variantes
caseta de obra con baño y ducha,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
puedo poner una caseta de obra en mi terreno,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,0.01,,,,🟢 Normal,1 variantes
caseta de obra valencia,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
construir caseta de obra,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
como hacer una caseta de obra,Casetas y contenedores,Informacional,,Pendiente,70,70,0.95,,,,🟢 Normal,1 variantes
comprar caseta de obra segunda mano,Casetas y contenedores,Comercial,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
hacer caseta de obra,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,0.95,,,,🟢 Normal,1 variantes
milanuncios caseta de obra,Casetas y contenedores,Comercial/Info,,Pendiente,40,70,0.97,,,,🟢 Normal,2 variantes: caseta de obra milanuncios
caseta de aperos de obra,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
donde comprar un contenedor maritimo,Casetas y contenedores,Comercial,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
contenedor marítimo 20 pies,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
precio contenedores maritimos usados 40 pies,Casetas y contenedores,Comercial,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
venta de contenedores usados baratos cerca de dos hermanas,Casetas y contenedores,Comercial,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
precio contenedor 20 pies usado,Casetas y contenedores,Comercial,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
precio contenedor 40 pies usado,Casetas y contenedores,Comercial,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
contenedor 12 metros precio,Casetas y contenedores,Comercial,,Pendiente,70,70,0.99,,,,🟢 Normal,1 variantes
medidas contenedores marítimos en metros,Casetas y contenedores,Comercial/Info,,Pendiente,70,70,0.69,,,,🟢 Normal,1 variantes
maquinaria de obra de segunda mano,Maquinaria general,Comercial,,Pendiente,50,70,0.85,,,,🟢 Normal,2 variantes: maquinaria obra segunda mano
maquinaria de construcción de segunda mano particular,Maquinaria general,Comercial,,Pendiente,70,70,0.0,,,,🟢 Normal,1 variantes
banco santander maquinaria usada,Maquinaria general,Comercial,,Pendiente,70,70,0.07,,,,🟢 Normal,1 variantes
maquinaria segunda mano metal,Maquinaria general,Comercial,,Pendiente,70,70,0.62,,,,🟢 Normal,1 variantes
alquiler mini excavadora precio,Miniexcavadoras,Comercial,,Pendiente,40,70,0.67,,,,🟢 Normal,2 variantes: precio alquiler mini excavadora
mini excavadora china precio,Miniexcavadoras,Comercial,,Pendiente,70,70,1.0,,,,🟢 Normal,1 variantes
precio alquiler excavadora con conductor,Excavadoras,Comercial,,Pendiente,70,70,0.25,,,,🟢 Normal,1 variantes
excavadora volvo 950 precio,Excavadoras,Comercial,,Pendiente,70,70,0.07,,,,🟢 Normal,1 variantes
furgoneta con plataforma elevadora segunda mano,Plataformas elevación,Comercial,,Pendiente,20,60,0.83,,,,🟢 Normal,"3 variantes: furgonetas con plataforma elevadora segunda mano, plataforma elevadora para furgoneta segunda mano"
mástil carretilla elevadora segunda mano,Plataformas elevación,Comercial,,Pendiente,30,60,0.23,,,,🟢 Normal,2 variantes: mastil carretilla elevadora segunda mano
venta de contenedores marítimos en valencia,Casetas y contenedores,Comercial,,Pendiente,40,60,0.0,,,,🟢 Normal,2 variantes: venta contenedores maritimos valencia
maquinaria de construccion embargada,Maquinaria general,Comercial/Info,,Pendiente,30,60,0.37,,,,🟢 Normal,2 variantes: maquinaria de construcción embargada
máquina excavadora precio,Excavadoras,Comercial,,Pendiente,30,60,0.93,,,,🟢 Normal,2 variantes: maquina excavadora precio
excavadora precio nueva,Excavadoras,Comercial,,Pendiente,30,60,0.92,,,,🟢 Normal,2 variantes: precio excavadora nueva
alquiler excavadora pequeña precio,Excavadoras,Comercial,,Pendiente,30,60,0.78,,,,🟢 Normal,2 variantes: precio alquiler excavadora pequeña
mini retroexcavadora kubota,Excavadoras,Comercial/Info,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
miniexcavadoras segunda mano particulares cerca de la coruña,Miniexcavadoras,Comercial,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
miniexcavadoras segunda mano particulares cerca de ourense,Miniexcavadoras,Comercial,,Pendiente,50,50,0.91,,,,🟢 Normal,1 variantes
miniexcavadoras segunda mano particulares cerca de málaga,Miniexcavadoras,Comercial,,Pendiente,50,50,0.99,,,,🟢 Normal,1 variantes
miniexcavadoras segunda mano particulares cerca de vitoria gasteiz,Miniexcavadoras,Comercial,,Pendiente,30,50,1.0,,,,🟢 Normal,2 variantes: miniexcavadoras segunda mano particulares cerca de vitoria-gasteiz
mini retros usadas de particulares,Excavadoras,Comercial,,Pendiente,50,50,0.77,,,,🟢 Normal,1 variantes
miniexcavadora 1800 kg,Miniexcavadoras,Comercial/Info,,Pendiente,50,50,0.97,,,,🟢 Normal,1 variantes
miniexcavadora 800 kg,Miniexcavadoras,Comercial/Info,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
mini excavadora segunda mano las palmas,Miniexcavadoras,Comercial,,Pendiente,50,50,0.0,,,,🟢 Normal,1 variantes
mini pala excavadora de segunda mano,Excavadoras,Comercial,,Pendiente,30,50,0.0,,,,🟢 Normal,2 variantes: mini pala excavadora segunda mano
desbrozadora para excavadora de segunda mano,Excavadoras,Comercial,,Pendiente,50,50,0.68,,,,🟢 Normal,1 variantes
mini excavadora jcb segunda mano,Miniexcavadoras,Comercial,,Pendiente,50,50,0.81,,,,🟢 Normal,1 variantes
excavadora pequeña segunda mano,Excavadoras,Comercial,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
camiones con plataforma elevadora segunda mano,Plataformas elevación,Comercial,,Pendiente,50,50,0.28,,,,🟢 Normal,1 variantes
plataforma elevadora remolque segunda mano,Plataformas elevación,Comercial,,Pendiente,50,50,0.61,,,,🟢 Normal,1 variantes
plataforma elevadora oruga segunda mano,Plataformas elevación,Comercial,,Pendiente,50,50,0.0,,,,🟢 Normal,1 variantes
plataforma elevadora de tijera 12 metros de segunda mano,Plataformas elevación,Comercial,,Pendiente,50,50,0.0,,,,🟢 Normal,1 variantes
plataforma elevadora tijera 20 metros,Plataformas elevación,Comercial/Info,,Pendiente,50,50,0.0,,,,🟢 Normal,1 variantes
precio alquiler plataforma elevadora tijera,Plataformas elevación,Comercial,,Pendiente,30,50,0.05,,,,🟢 Normal,2 variantes: precio alquiler plataforma elevadora de tijera
carretilla elevadora segunda mano galicia,Plataformas elevación,Comercial,,Pendiente,50,50,0.94,,,,🟢 Normal,1 variantes
mini dumper autocargable segunda mano,Dumpers y cargadoras,Comercial,,Pendiente,50,50,0.0,,,,🟢 Normal,1 variantes
dumper con pala segunda mano,Dumpers y cargadoras,Comercial,,Pendiente,30,50,0.0,,,,🟢 Normal,2 variantes: dumper con pala de segunda mano
minicargadora de orugas usada,Dumpers y cargadoras,Comercial,,Pendiente,50,50,0.85,,,,🟢 Normal,1 variantes
generadores eléctrico,Generadores,Comercial/Info,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
generadores de segunda mano particulares cerca de sevilla,Generadores,Comercial,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
generadores diésel baratos,Generadores,Comercial,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
caseta de obra tenerife,Casetas y contenedores,Comercial/Info,,Pendiente,50,50,0.93,,,,🟢 Normal,1 variantes
se puede poner una caseta de obra en terreno rústico,Casetas y contenedores,Comercial/Info,,Pendiente,50,50,0.0,,,,🟢 Normal,1 variantes
caseta de obra murcia,Casetas y contenedores,Comercial/Info,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
puerta para caseta de obra,Casetas y contenedores,Comercial/Info,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
caseta de obra segunda mano sevilla,Casetas y contenedores,Comercial,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
caseta de obra desmontable,Casetas y contenedores,Comercial/Info,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
como hacer una caseta de jardín de obra,Casetas y contenedores,Informacional,,Pendiente,50,50,0.99,,,,🟢 Normal,1 variantes
comprar contenedor maritimo segunda mano,Casetas y contenedores,Comercial,,Pendiente,40,50,1.0,,,,🟢 Normal,2 variantes: comprar contenedor marítimo segunda mano
contenedor marítimo casa,Casetas y contenedores,Comercial/Info,,Pendiente,50,50,0.99,,,,🟢 Normal,1 variantes
contenedor marítimo 4 metros,Casetas y contenedores,Comercial/Info,,Pendiente,50,50,0.99,,,,🟢 Normal,1 variantes
venta de contenedores en marin,Casetas y contenedores,Comercial,,Pendiente,50,50,0.99,,,,🟢 Normal,1 variantes
venta de contenedores en valencia,Casetas y contenedores,Comercial,,Pendiente,50,50,0.0,,,,🟢 Normal,1 variantes
contenedores marítimos segunda mano alicante,Casetas y contenedores,Comercial,,Pendiente,50,50,0.98,,,,🟢 Normal,1 variantes
contenedores de segunda mano precio,Casetas y contenedores,Comercial,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
medidas contenedor 40 pies interior,Casetas y contenedores,Comercial/Info,,Pendiente,50,50,0.1,,,,🟢 Normal,1 variantes
contenedor 20 pies medidas interiores,Casetas y contenedores,Comercial/Info,,Pendiente,50,50,0.33,,,,🟢 Normal,1 variantes
medidas contenedor marítimo 20 pies,Casetas y contenedores,Comercial/Info,,Pendiente,30,50,0.74,,,,🟢 Normal,2 variantes: contenedor marítimo 20 pies medidas
subastas de maquinaria en madrid,Maquinaria general,Comercial/Info,,Pendiente,50,50,0.03,,,,🟢 Normal,1 variantes
maquinaria de construcción usados,Maquinaria general,Comercial,,Pendiente,50,50,0.74,,,,🟢 Normal,1 variantes
subasta de maquinaria agrícola en españa,Maquinaria general,Comercial/Info,,Pendiente,50,50,0.0,,,,🟢 Normal,1 variantes
subasta de maquinaria de construcción,Maquinaria general,Comercial/Info,,Pendiente,50,50,0.0,,,,🟢 Normal,1 variantes
venta maquinaria industrial segunda mano,Maquinaria general,Comercial,,Pendiente,50,50,0.0,,,,🟢 Normal,1 variantes
venta maquinaria segunda mano,Maquinaria general,Comercial,,Pendiente,50,50,0.67,,,,🟢 Normal,1 variantes
maquinaria pesada nombres,Maquinaria general,Comercial/Info,,Pendiente,50,50,0.0,,,,🟢 Normal,1 variantes
maquinaria ligera,Maquinaria general,Comercial/Info,,Pendiente,50,50,0.31,,,,🟢 Normal,1 variantes
mini excavadora yanmar precio,Miniexcavadoras,Comercial,,Pendiente,50,50,1.0,,,,🟢 Normal,1 variantes
precio hora excavadora giratoria,Excavadoras,Comercial,,Pendiente,50,50,0.08,,,,🟢 Normal,1 variantes
excavadora volvo 750 precio nueva,Excavadoras,Comercial,,Pendiente,50,50,0.01,,,,🟢 Normal,1 variantes
miniexcavadora 1700 kg,Miniexcavadoras,Comercial/Info,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
miniexcavadora kubota 1000 kg,Miniexcavadoras,Comercial/Info,,Pendiente,40,40,0.97,,,,🟢 Normal,1 variantes
micro excavadora segunda mano,Excavadoras,Comercial,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
pala excavadora segunda mano,Excavadoras,Comercial,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
precio retroexcavadora usada,Excavadoras,Comercial,,Pendiente,10,40,0.0,,,,🟢 Normal,"4 variantes: precio de retroexcavadora usada, retroexcavadora usada precio, retroexcavadora precio usada"
plataforma elevadora de segunda mano,Plataformas elevación,Comercial,,Pendiente,40,40,0.95,,,,🟢 Normal,1 variantes
plataforma elevadora tijera 12 metros,Plataformas elevación,Comercial/Info,,Pendiente,40,40,0.79,,,,🟢 Normal,1 variantes
carretilla elevadora tijera,Plataformas elevación,Comercial/Info,,Pendiente,20,40,1.0,,,,🟢 Normal,2 variantes: carretilla elevadora de tijera
plataforma elevadora de tijera 6 metros,Plataformas elevación,Comercial/Info,,Pendiente,40,40,0.99,,,,🟢 Normal,1 variantes
dumper de segunda mano en extremadura,Dumpers y cargadoras,Comercial,,Pendiente,40,40,0.13,,,,🟢 Normal,1 variantes
venta de dumper de segunda mano,Dumpers y cargadoras,Comercial,,Pendiente,40,40,0.49,,,,🟢 Normal,1 variantes
dumper hormigonera autocargable de segunda mano,Dumpers y cargadoras,Comercial,,Pendiente,40,40,0.92,,,,🟢 Normal,1 variantes
dumper de obra 4x4 segunda mano cerca de ourense,Dumpers y cargadoras,Comercial,,Pendiente,40,40,0.08,,,,🟢 Normal,1 variantes
dumper de obra 4x4 segunda mano,Dumpers y cargadoras,Comercial,,Pendiente,40,40,0.2,,,,🟢 Normal,1 variantes
generadores de segunda mano particulares cerca de murcia,Generadores,Comercial,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
generadores de luz honda de segunda mano particulares,Generadores,Comercial,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
generador gasolina carrefour,Generadores,Comercial/Info,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
caseta de obra plegable,Casetas y contenedores,Comercial/Info,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
estructura caseta de obra,Casetas y contenedores,Comercial/Info,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
alquiler caseta de obra con baño precio,Casetas y contenedores,Comercial,,Pendiente,40,40,0.41,,,,🟢 Normal,1 variantes
alquiler caseta de obra con baño,Casetas y contenedores,Comercial/Info,,Pendiente,40,40,0.37,,,,🟢 Normal,1 variantes
comprar caseta de obra con baño,Casetas y contenedores,Comercial,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
aire acondicionado caseta de obra,Casetas y contenedores,Comercial/Info,,Pendiente,30,40,0.96,,,,🟢 Normal,2 variantes: caseta de obra con aire acondicionado
hacer caseta de obra en jardin,Casetas y contenedores,Comercial/Info,,Pendiente,20,40,0.99,,,,🟢 Normal,2 variantes: hacer caseta jardin de obra
venta de contenedores usados en valencia,Casetas y contenedores,Comercial,,Pendiente,40,40,0.0,,,,🟢 Normal,1 variantes
contenedor marítimo 40 pies,Casetas y contenedores,Comercial/Info,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
venta de contenedores usados baratos tenerife,Casetas y contenedores,Comercial,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
venta de contenedores usados baratos en cantabria,Casetas y contenedores,Comercial,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
contenedores marítimos segunda mano valencia,Casetas y contenedores,Comercial,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
precio contenedor marítimo 12 metros,Casetas y contenedores,Comercial,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
contenedores marítimos frigoríficos usados baratos,Casetas y contenedores,Comercial,,Pendiente,40,40,0.99,,,,🟢 Normal,1 variantes
subastas de contenedores en valencia,Casetas y contenedores,Comercial/Info,,Pendiente,40,40,0.0,,,,🟢 Normal,1 variantes
contenedores de obra segunda mano galicia,Casetas y contenedores,Comercial,,Pendiente,40,40,1.0,,,,🟢 Normal,1 variantes
maquinaria de construcción usada en galicia,Maquinaria general,Comercial,,Pendiente,40,40,0.0,,,,🟢 Normal,1 variantes
